iter	Passed	Remaining
477	614	671
478	615	669
479	616	668
480	617	666
481	618	664
482	619	663
483	620	661
484	621	659
485	622	658
486	623	656
487	624	654
488	624	653
489	625	651
490	626	649
491	627	648
492	628	646
493	629	644
494	630	643
495	631	641
496	632	639
497	633	638
498	633	636
499	634	634
500	635	633
501	636	631
502	637	629
503	638	628
504	639	626
505	640	624
506	640	623
507	641	621
508	642	620
509	643	618
510	644	616
511	645	615
512	646	613
513	647	612
514	648	610
515	649	609
516	650	607
517	651	605
518	652	604
519	652	602
520	653	601
521	654	599
522	655	597
523	656	596
524	657	594
525	658	593
526	659	591
527	659	589
528	660	588
529	661	586
530	662	585
531	663	583
532	664	581
533	665	580
534	666	578
535	667	577
536	667	575
537	668	574
538	669	572
539	670	571
540	671	569
541	672	568
542	673	566
543	674	565
544	675	563
545	676	562
546	677	560
547	678	559
548	678	557
549	679	556
550	680	554
551	681	553
552	682	551
553	683	550
554	684	548
555	685	547
556	686	545
557	687	544
558	688	543
559	689	541
560	690	540
561	690	538
562	691	536
563	692	535
564	693	533
565	694	532
566	695	530
567	696	529
568	697	527
569	697	526
570	698	525
571	699	523
572	700	522
573	701	520
574	702	519
575	703	517
576	704	516
577	705	514
578	706	513
579	707	512
580	707	510
581	708	509
582	709	507
583	710	506
584	711	504
585	712	503
586	712	501
587	713	500
588	714	498
589	715	497
590	716	495
591	717	494
592	718	493
593	719	491
594	720	490
595	720	488
596	721	487
597	722	485
598	723	484
599	724	482
600	725	481
601	725	479
602	726	478
603	727	477
604	728	475
605	729	474
606	730	472
607	731	471
608	732	470
609	733	468
610	734	467
611	735	466
612	736	464
613	736	463
614	737	461
615	738	460
616	740	459
617	741	458
618	742	456
619	743	455
620	744	454
621	744	452
622	745	451
623	746	449
624	747	448
625	748	447
626	749	445
627	750	444
628	751	443
629	752	442
630	753	440
631	754	439
632	755	437
633	756	436
634	757	435
635	758	433
636	759	432
637	759	431
638	760	429
639	761	428
640	763	427
641	763	425
642	764	424
643	765	423
644	766	421
645	767	420
646	768	419
647	769	417
648	770	416
649	771	415
650	772	413
651	773	412
652	773	411
653	774	409
654	775	408
655	776	407
656	777	406
657	778	404
658	779	403
659	780	402
660	781	400
661	782	399
662	783	398
663	784	396
664	785	395
665	786	394
666	787	393
667	788	391
668	788	390
669	789	389
670	790	387
671	791	386
672	792	385
673	793	383
674	794	382
675	795	381
676	796	379
677	796	378
678	797	377
679	798	375
680	799	374
681	800	373
682	801	371
683	802	370
684	802	369
685	803	367
686	804	366
687	805	365
688	806	364
689	807	362
690	808	361
691	809	360
692	810	359
693	811	357
694	812	356
695	813	355
696	814	354
697	815	352
698	816	351
699	817	350
700	818	349
701	819	347
702	820	346
703	820	345
704	821	343
705	822	342
706	823	341
707	824	340
708	825	338
709	826	337
710	827	336
711	828	335
712	829	333
713	830	332
714	831	331
715	831	329
716	832	328
717	833	327
718	834	326
719	835	324
720	836	323
721	837	322
722	838	321
723	839	319
724	840	318
725	841	317
726	842	316
727	842	314
728	843	313
729	844	312
730	845	311
731	846	309
732	847	308
733	848	307
734	849	306
735	850	304
736	851	303
737	851	302
738	852	301
739	853	299
740	854	298
741	855	297
742	856	296
743	857	294
744	858	293
745	859	292
746	860	291
747	860	290
748	861	288
749	862	287
750	863	286
751	864	285
752	865	283
753	866	282
754	867	281
755	868	280
756	869	279
757	870	277
758	870	276
759	871	275
760	872	274
761	873	272
762	874	271
763	875	270
764	876	269
765	877	267
766	878	266
767	878	265
768	879	264
769	880	263
770	881	261
771	882	260
772	883	259
773	884	258
774	885	256
775	885	255
776	886	254
777	887	253
778	888	252
779	889	250
780	890	249
781	891	248
782	892	247
783	892	246
784	893	244
785	894	243
786	895	242
787	896	241
788	897	239
789	898	238
790	899	237
791	900	236
792	900	235
793	901	233
794	902	232
795	903	231
796	904	230
797	905	229
798	906	227
799	908	227
800	908	225
801	909	224
802	910	223
803	911	222
804	912	221
805	913	219
806	914	218
807	915	217
808	916	216
809	917	215
810	918	214
811	919	212
812	920	211
813	921	210
814	922	209
815	923	208
816	923	206
817	924	205
818	925	204
819	926	203
820	927	202
821	928	201
822	929	199
823	930	198
824	930	197
825	931	196
826	932	195
827	933	193
828	934	192
829	935	191
830	936	190
831	937	189
832	938	188
833	938	186
834	939	185
835	940	184
836	941	183
837	942	182
838	943	181
839	944	179
840	945	178
841	946	177
842	947	176
843	948	175
844	948	174
845	949	172
846	950	171
847	951	170
848	952	169
849	953	168
850	954	167
851	955	166
852	956	164
853	957	163
854	958	162
855	959	161
856	960	160
857	961	159
858	962	158
859	963	156
860	964	155
861	965	154
862	966	153
863	967	152
864	968	151
865	969	149
866	969	148
867	970	147
868	971	146
869	972	145
870	973	144
871	974	143
872	975	141
873	976	140
874	977	139
875	978	138
876	979	137
877	980	136
878	981	135
879	982	133
880	982	132
881	983	131
882	984	130
883	985	129
884	986	128
885	987	127
886	988	125
887	989	124
888	990	123
889	991	122
890	992	121
891	993	120
892	994	119
893	994	117
894	995	116
895	996	115
896	997	114
897	998	113
898	999	112
899	1000	111
900	1001	110
901	1001	108
902	1002	107
903	1003	106
904	1004	105
905	1005	104
906	1006	103
907	1007	102
908	1008	100
909	1009	99
910	1010	98
911	1010	97
912	1011	96
913	1012	95
914	1013	94
915	1014	93
916	1015	91
917	1016	90
918	1016	89
919	1017	88
920	1018	87
921	1019	86
922	1020	85
923	1021	84
924	1022	82
925	1023	81
926	1024	80
927	1025	79
928	1025	78
929	1026	77
930	1027	76
931	1028	75
932	1029	73
933	1030	72
934	1031	71
935	1032	70
936	1032	69
937	1033	68
938	1034	67
939	1035	66
940	1036	65
941	1037	63
942	1038	62
943	1039	61
944	1040	60
945	1041	59
946	1042	58
947	1042	57
948	1043	56
949	1044	54
950	1045	53
951	1046	52
952	1047	51
953	1048	50
954	1049	49
955	1050	48
956	1050	47
957	1051	46
